name,url,influencedByCount,influencedCount
The Who,https://www.allmusic.com/artist/the-who-mn0000577627,19,130
Tom Petty,https://www.allmusic.com/artist/tom-petty-mn0000612716,17,40
XTC,https://www.allmusic.com/artist/xtc-mn0000678339,20,51
ABBA,https://www.allmusic.com/artist/abba-mn0000922728,12,23
ABC,https://www.allmusic.com/artist/abc-mn0000574597,16,13
Alan Menken,https://www.allmusic.com/artist/alan-menken-mn0000508141,12,11
Ambrosia,https://www.allmusic.com/artist/ambrosia-mn0000019133,4,0
Argent,https://www.allmusic.com/artist/argent-mn0000593930,6,5
Aztec Camera,https://www.allmusic.com/artist/aztec-camera-mn0000759031,13,13
Bastille,https://www.allmusic.com/artist/bastille-mn0002825814,16,8
Bay City Rollers,https://www.allmusic.com/artist/bay-city-rollers-mn0000151979,12,10
Billy Squier,https://www.allmusic.com/artist/billy-squier-mn0000084814,17,14
Blue Öyster Cult,https://www.allmusic.com/artist/blue-%C3%B6yster-cult-mn0000061938,16,17
Bread,https://www.allmusic.com/artist/bread-mn0000610706,11,15
Carwyn Ellis,https://www.allmusic.com/artist/carwyn-ellis-mn0000554770,2,0
Chad & Jeremy,https://www.allmusic.com/artist/chad-jeremy-mn0000799644,2,0
Emerson Lake & Palmer,https://www.allmusic.com/artist/emerson-lake-palmer-mn0000798992,14,17
Everything Everything,https://www.allmusic.com/artist/everything-everything-mn0002371422,4,1
Herman's Hermits,https://www.allmusic.com/artist/hermans-hermits-mn0000575051,17,7
Hüsker Dü,https://www.allmusic.com/artist/h%C3%BCsker-d%C3%BC-mn0000639053,15,48
Imagine Dragons,https://www.allmusic.com/artist/imagine-dragons-mn0002040645,27,11
Iron Butterfly,https://www.allmusic.com/artist/iron-butterfly-mn0000772567,16,16
James Taylor,https://www.allmusic.com/artist/james-taylor-mn0000204386,15,31
Jason Falkner,https://www.allmusic.com/artist/jason-falkner-mn0000217893,3,0
Joe Jackson,https://www.allmusic.com/artist/joe-jackson-mn0000784732,16,14
Juanes,https://www.allmusic.com/artist/juanes-mn0000245250,31,13
Lloyd Cole,https://www.allmusic.com/artist/lloyd-cole-mn0000229348,14,5
Manfred Mann,https://www.allmusic.com/artist/manfred-mann-mn0002285572,3,0
Marshall Crenshaw,https://www.allmusic.com/artist/marshall-crenshaw-mn0000853492,16,9
Mary Chapin Carpenter,https://www.allmusic.com/artist/mary-chapin-carpenter-mn0000858375,17,20
Mumford & Sons,https://www.allmusic.com/artist/mumford-sons-mn0001072350,21,19
Neutral Milk Hotel,https://www.allmusic.com/artist/neutral-milk-hotel-mn0000863102,10,12
Niall Horan,https://www.allmusic.com/artist/niall-horan-mn0002854547,12,10
Nick Lowe,https://www.allmusic.com/artist/nick-lowe-mn0000866841,20,18
Ovens,https://www.allmusic.com/artist/ovens-mn0004321281,5,0
Panic! At the Disco,https://www.allmusic.com/artist/panic%21-at-the-disco-mn0000318085,25,20
Prefab Sprout,https://www.allmusic.com/artist/prefab-sprout-mn0000300024,17,20
Procol Harum,https://www.allmusic.com/artist/procol-harum-mn0000304401,9,10
Queen,https://www.allmusic.com/artist/queen-mn0000858827,25,88
R. Stevie Moore,https://www.allmusic.com/artist/r-stevie-moore-mn0000384920,11,3
Rockpile,https://www.allmusic.com/artist/rockpile-mn0000243012,3,0
Steely Dan,https://www.allmusic.com/artist/steely-dan-mn0000011707,18,37
Supergrass,https://www.allmusic.com/artist/supergrass-mn0000031556,19,7
Supertramp,https://www.allmusic.com/artist/supertramp-mn0000033666,13,10
Teenage Fanclub,https://www.allmusic.com/artist/teenage-fanclub-mn0000015694,20,18
The Alan Parsons Project,https://www.allmusic.com/artist/the-alan-parsons-project-mn0001176481,8,0
